company,client,method,from,to,sample_size,con,lab,ld,ukip,snp,grn,other,pdf
Opinium,Observer,Online,2017-05-30,2017-05-31,130.0,0.31,0.19,0.02,0.01,0.47,0.0,0.0,http://opinium.co.uk/wp-content/uploads/2017/06/VI-30-05-2017-Full-Tables.xls
Panelbase,Times,Online,2017-05-26,2017-05-31,1021.0,0.3,0.2,0.05,0.01,0.42,0.02,0.01,http://www.panelbase.com/media/polls/W7181w12tablesforpublication310517.pdf
Panelbase,,Online,2017-05-26,2017-06-01,98.0,0.36,0.14,0.06,0.01,0.41,0.02,0.0,http://www.panelbase.com/media/polls/W10470w6tablesforpublication010617.pdf
Ipsos MORI Phone,Evening Standard,Phone,2017-05-30,2017-06-01,86.0,0.25,0.31,0.09,0.0,0.34,0.0,0.01,https://www.ipsos.com/sites/default/files/2017-06/pm-june-tables.pdf
ORB Online,Telegraph,Online,2017-05-31,2017-06-01,164.0,0.28,0.16,0.08,0.02,0.46,,0.01,https://www.orb-international.com/perch/resources/orbtelegraph-jun-2-1.pdf
ICM Online,Sun,Online,2017-05-31,2017-06-02,162.0,0.29,0.23,0.05,0.0,0.41,0.02,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_sunonsunday_poll4_final.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-05-31,2017-06-02,176.0,0.32,0.15,0.09,0.01,0.4,0.02,0.0,http://www.comresglobal.com/wp-content/uploads/2017/06/Independent-Sunday-Mirror_VI-and-political-poll_2nd-June-2017_654412.pdf
Survation,Sunday Post,Online,2017-05-31,2017-06-02,1024.0,0.266,0.254,0.06,,0.402,,0.018000000000000002,http://survation.com/wp-content/uploads/2017/06/Final-Sunday-Post-Tables-310517CPCH-1c0d2h4.pdf
YouGov,Times,Online,2017-06-01,2017-06-02,183.0,0.3,0.27,0.04,0.01,0.36,0.01,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f3ruqo8k0q/SundayTimesResults_170602_VI_W.pdf
Survation,Good Morning Britain,Phone,2017-06-03,2017-06-03,62.0,0.207,0.27899999999999997,0.059000000000000004,0.018000000000000002,0.43799999999999994,,0.0,http://survation.com/wp-content/uploads/2017/06/Final-MoS-Post-BBC-Event-Poll-020617SWCH-1c0d4h9.pdf
Survation,Good Morning Britain,Phone,2017-06-02,2017-06-03,65.0,0.11800000000000001,0.382,0.034,0.0,0.466,0.0,0.0,http://survation.com/wp-content/uploads/2017/06/Final-GMB-GE2017-V-Tables-020617TOCH-1c1d0h3-microage.pdf
ICM Online,Guardian,Online,2017-06-02,2017-06-04,162.0,0.3,0.21,0.07,0.0,0.4,0.01,0.01,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_guardian_poll9_2-4june.pdf
YouGov,Times,Online,2017-06-01,2017-06-05,1093.0,0.26,0.25,0.06,0.0,0.41,0.01,0.0,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bgdq83jllw/TimesResults_170605_Scotland_WestminsterVI_LeadersApproval_Independence_W.pdf
Opinium,,Online,2017-06-04,2017-06-06,189.0,0.27,0.17,0.05,0.0,0.49,0.01,0.0,http://opinium.co.uk/wp-content/uploads/2017/06/VI-04-06-17-Final-Opinium-Poll.xls
ICM Online,Guardian,Online,2017-06-06,2017-06-07,132.0,0.29,0.21,0.02,0.0,0.47,0.0,0.0,https://www.icmunlimited.com/wp-content/uploads/2017/06/2017_guardian_prediction_PRELIM_1500.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-06-05,2017-06-07,169.0,0.27,0.16,0.09,0.01,0.45,0.0,0.01,http://www.comresglobal.com/wp-content/uploads/2017/06/Independent_FINAL-VI-and-Political-Poll_7th-June-2017_130392.pdf
Panelbase,,Online,2017-06-02,2017-06-07,260.0,0.3,0.24,0.04,0.01,0.4,0.01,0.0,http://www.panelbase.com/media/polls/W10470w7tablesforpublication.pdf
Kantar Public,,Online,2017-06-01,2017-06-07,98.0,0.15,0.2,0.08,0.0,0.41,0.04,0.0,http://www.tns-bmrb.co.uk/sites/tns-bmrb/files/KPUK%20-%20final%20tables%20-%2031.5.2017.pdf
YouGov,Times,Online,2017-06-05,2017-06-07,196.0,0.28,0.22,0.07,0.0,0.41,0.0,0.01,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/d8zsb99eyd/TimesResults_FINAL%20CALL_GB_June2017_W.pdf
Survation,,Online,2017-06-06,2017-06-07,813.0,0.255,0.285,0.049,0.0,0.409,0.0,0.0,http://survation.com/wp-content/uploads/2017/06/Survation-GE2017-Final-Poll-2d7l9l8.pdf
BMG,Herald,Online,2017-06-06,2017-06-07,87.0,0.29,0.22,0.06,0.0,0.42,0.01,0.0,http://www.bmgresearch.co.uk/wp-content/uploads/2017/06/CONFIDENTIAL-BMG-HERALD-POLL-FINAL-GE2017-070617.xlsx
Panelbase,Times,Online,2017-06-02,2017-06-07,1106.0,0.3,0.22,0.05,0.01,0.41,0.02,0.01,http://www.panelbase.com/media/polls/W7181w13TimesScottishpoll070617.pdf
Ipsos MORI Phone,Evening Standard,Phone,2017-06-06,2017-06-07,129.0,0.22,0.24,0.04,0.01,0.47,0.02,0.0,https://www.ipsos.com/sites/default/files/2017-06/pm-election-2017-final-tables.pdf
